X,Y,OBJECTID,NAME,TYPE,NO_SPACES,Lat,Long,EastITM,NorthITM,EastIG,NorthIG
-9.053499750875776,53.273082469830108,1,Market St,Pay/Surface Carpark,88,53.273,-9.054,529691.955,725294.803,129726.012,225265.639
-9.054503903368941,53.270521155078541,2,Jurys Hotel,Multistorey Carpark,348,53.271,-9.055,529620.784,725010.839,129654.828,224981.613
-9.056677150391952,53.273979585968917,3,Gaol Rd / Cathedral,Pay/Surface Carpark,161,53.274,-9.057,529481.534,725397.739,129515.546,225368.595
-9.051106477936496,53.26948802216706,4,Harbour,Pay/Surface Carpark, ,53.27,-9.052,529845.677,724892.562,129879.77,224863.312
-9.049571233949168,53.274731667902756,5,Eyre Square Centre,Multistorey Carpark,452,53.275,-9.05,529956.637,725474.425,129990.751,225445.3
-9.042891390678891,53.273523509119734,6,Radisson Hotel,Multistorey Carpark,260,53.274,-9.043,530400.129,725333.491,130434.34,225304.339
-9.045248691741552,53.273548515714353,7,Fairgreen House,Multistorey Carpark,400,53.274,-9.046,530242.966,725338.57,130277.142,225309.419
-9.048590141985041,53.270976202486978,8,Docks,Pay/Surface Carpark,89,53.271,-9.049,530015.932,725055.66,130050.06,225026.446
-9.049922268143415,53.276011826480037,9,Corrib Centre,Multistorey Carpark,580,53.276,-9.051,529935.321,725617.189,129969.43,225588.095
-9.050566329174679,53.278377120598336,10,Dyke Road,Pay/Surface Carpark,510,53.279,-9.051,529896.241,725880.965,129930.341,225851.928
-9.054235838671511,53.273851566152011,11,Bowling Green,Pay/Surface Carpark (short stay),40,53.274,-9.055,529644.128,725381.091,129678.175,225351.945
-9.057652301183115,53.271078228829353,12,Mill St,Pay/Surface Carpark (short stay),82,53.271,-9.058,529411.726,725075.918,129445.724,225046.705
-9.073338410299071,53.259609833567403,13,Salthill,Surface Carpark (free parking), ,53.26,-9.074,528346.431,723815.637,128380.202,223786.148
-9.076039760436448,53.259010763215024,14,Salthill,Surface Carpark (free parking), ,53.259,-9.077,528165.221,723751.7,128198.954,223722.195
-9.047384993904027,53.270284114838475,15,Harbour Hotel,Multistorey Carpark,114,53.271,-9.048,530095.177,724977.485,130129.323,224948.254
-9.049999320469533,53.271260240018094,16,Eyre Square Centre,Multistorey Carpark,480,53.271,-9.051,529922.415,725088.64,129956.523,225059.432
-9.050677412078851,53.270637163453195,17,Hynes Yard,Multistorey Carpark,114,53.271,-9.051,529876.173,725019.986,129910.271,224990.764
